OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD_020_ONOFF_07_13_23								
Export date	7/19/2023 7:48								
Start of measurement	08:51.1								
									
Data file sample rate	10	Hz							
Data file duration	2667.1	s							
Data file total number of samples	26671								
									
Description									
Optode-template	PortaMon TSI Fit Factor								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
1	1	758	nm						
1	2	853	nm						
1	3	758	nm						
1	4	853	nm						
1	5	757	nm						
1	6	852	nm						
									
Export sample rate	10	Hz							
Export time span	0	2667.1							
Export time span (sample numbers)	0	26671							
									
									
Legend									
Column	Trace (Measurement)								
1	(Sample number)								
10	Rx1-Tx1 O2Hb (LIGHTSHIELD_020_ONOFF_07_13_23)								
11	Rx1-Tx1 HHb (LIGHTSHIELD_020_ONOFF_07_13_23)								
12	Rx1-Tx2 O2Hb (LIGHTSHIELD_020_ONOFF_07_13_23)								
13	Rx1-Tx2 HHb (LIGHTSHIELD_020_ONOFF_07_13_23)								
14	Rx1-Tx3 O2Hb (LIGHTSHIELD_020_ONOFF_07_13_23)								
15	Rx1-Tx3 HHb (LIGHTSHIELD_020_ONOFF_07_13_23)								
16	"Rx1-Tx1,Tx2,Tx3 TSI% (Mov avg) (LIGHTSHIELD_020_ONOFF_07_13_23)"								
17	"Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (Mov avg) (LIGHTSHIELD_020_ONOFF_07_13_23)"								
26	(Event)								
									
1	10	11	12	13	14	15	16	17	26
0	237.9997864	153.727066	203.9998016	131.7660675	178.475769	116.5646515	0	0	
1	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
2	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
3	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
4	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
5	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
6	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
7	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
8	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
9	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
10	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
11	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
12	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
13	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
14	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
15	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
16	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
17	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
18	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
19	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
20	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
21	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
22	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
23	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
24	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
25	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
26	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	0	0	
27	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
28	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
29	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
30	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
31	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
32	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	100	96.0351639	
33	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	99.9315948	96.0708084	
34	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	97.9646378	96.328125	
35	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	96.7404633	96.5786819	
36	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	95.0412216	96.821228	
37	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	93.0907669	97.0644455	
38	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	90.9416351	97.312645	
39	0.0000001	0.0000004	-0.0000039	0.0000013	0.0000141	0.0000006	88.7200089	97.5623169	
40	0.0000001	0.0000004	2.6252525	0.4158925	-0.1878506	5.1368203	86.4423752	97.8130341	
41	2.9917641	12.7106943	12.3136997	15.0124483	-2.0825968	21.6899185	84.1163559	98.0652847	
42	2.9151869	15.2274876	13.103714	16.122633	1.1228554	21.6125641	81.7834778	98.3175583	
43	13.4935303	22.4567776	21.4643269	22.4427109	7.5910201	28.7491474	79.437294	98.5699921	
44	19.1431923	28.8355274	26.5678043	27.8387756	11.0269461	34.4171715	77.0945969	98.8226547	
45	21.1488457	31.5541115	28.5937595	30.5271454	12.1152678	37.2635422	74.7517548	99.0751266	
46	22.060442	32.6795044	29.4505997	31.5605125	12.541563	38.3361855	72.405571	99.3276367	
47	22.5078945	33.2018127	29.9613914	32.0904083	12.7917728	38.9761314	70.0625687	99.5801697	
48	22.9029732	33.6436386	30.5239716	32.6337585	13.1770773	39.6337166	67.7878723	99.7969513	
49	23.2494068	33.8674049	30.7503853	32.8399887	13.3554029	39.7854805	67.4183884	99.7921448	
50	23.2632198	33.8996544	30.7328796	32.8886719	13.2955542	39.8346405	66.3126831	99.7938385	
51	23.2755928	33.9076462	30.7752991	32.9160728	13.3502035	39.852684	65.682045	99.8036346	
52	23.3112698	33.9073601	30.7646942	32.9092216	13.349184	39.8343658	65.3057251	99.8126755	
53	23.2865238	33.8913765	30.7434845	32.8955231	13.3130903	39.8284454	65.1347351	99.8166428	
54	23.2261009	33.875679	30.6810894	32.8752174	13.2574215	39.7920837	65.0362854	99.8189697	
55	23.1518669	33.8277321	30.5868778	32.834362	13.1831961	39.7436066	64.9905548	99.8200378	
56	23.1518669	33.8277321	30.5974827	32.8412132	13.2182693	39.7312164	64.9867401	99.819603	
57	23.1984749	33.8111763	30.6162243	32.813324	13.2698593	39.694313	64.9670486	99.8193436	
58	23.1984749	33.8111763	30.636198	32.8062286	13.2698593	39.694313	64.9475632	99.8192749	
59	23.2217789	33.8028984	30.6149883	32.7925301	13.2585421	39.6516228	64.9281082	99.8188782	
60	23.1846619	33.778923	30.5831738	32.7719803	13.2657804	39.6210518	64.9156723	99.8185349	
61	23.2450829	33.7946205	30.6149883	32.7925301	13.3204298	39.6390953	64.900795	99.8184052	
62	23.2822018	33.8185959	30.636198	32.8062286	13.3400059	39.669529	64.9018021	99.8179932	
63	23.2836418	33.8428574	30.6386681	32.8478203	13.3430653	39.7244759	64.9064178	99.8172379	
64	23.3250828	33.9396133	30.7365856	32.9510574	13.3532629	39.9076271	64.9322433	99.8157654	
65	23.3417778	34.0203857	30.7533646	33.0618782	13.3325663	40.0176582	64.9808731	99.8129044	
66	23.4283867	34.0763283	30.8382053	33.1166801	13.4428854	40.0720596	65.0657196	99.8094788	
67	23.5259266	34.1160011	30.9523926	33.1504402	13.5882769	40.1140671	65.2457809	99.8123016	
68	23.6743984	34.2118988	31.135149	33.3084793	13.8037157	40.2900734	65.8331223	99.8186569	
69	23.7253304	34.2681274	31.1245441	33.3016281	13.817174	40.2106133	68.1532059	99.8040161	
70	23.7676144	34.178791	31.1408138	33.232151	13.9038372	40.1613197	70.4765625	99.5538025	
71	23.6067715	34.0749016	30.7696362	32.9924011	13.523531	39.7540932	72.8063965	99.301857	
72	23.1883888	33.6413536	30.2706852	32.4901505	13.182478	39.2489548	75.1589661	99.0498352	
73	22.9155941	33.255188	29.9096012	32.0769501	12.9208498	38.7250977	77.5246277	98.7974625	
74	20.7800503	32.1557655	26.0691032	29.916275	7.2375832	34.7661972	79.8867874	98.5452042	
