OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD004_04_21_2023								
Export date	6/14/2023 10:18								
Start of measurement	08:11.7								
									
Data file sample rate	10	Hz							
Data file duration	2575.5	s							
Data file total number of samples	25755								
									
Description									
Optode-template	PortaMon TSI								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
1	1	758	nm						
1	2	853	nm						
1	3	758	nm						
1	4	853	nm						
1	5	757	nm						
1	6	852	nm						
									
Export sample rate	10	Hz							
Export time span	0	2575.5							
Export time span (sample numbers)	0	25755							
									
									
Legend									
Column	Trace (Measurement)								
1	(Sample number)								
2	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
3	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
4	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
5	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
6	Rx1-Tx3 O2Hb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
7	Rx1-Tx3 HHb (Mov avg) (LIGHTSHIELD004_04_21_2023)								
8	"Rx1-Tx1,Tx2,Tx3 TSI% (Mov avg) (LIGHTSHIELD004_04_21_2023)"								
9	"Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (Mov avg) (LIGHTSHIELD004_04_21_2023)"								
10	(Event)								
									
1	2	3	4	5	6	7	8	9	10
0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	
22	0	0	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	
25	0	0	0	0	0	0	0	0	
26	0	0	0	0	0	0	0	0	
27	0	0	0	0	0	0	0	0	
28	0	0	0	0	0	0	0	0	
29	0	0	0	0	0	0	0	0	
30	0	0	0	0	0	0	0	0	
31	0	0	0	0	0	0	0	0	
32	0	0	0	0	0	0	0	0	
33	0	0	0	0	0	0	0	0	
34	0	0	0	0	0	0	0	0	
35	0	0	0	0	0	0	0	0	
36	0	0	0	0	0	0	0	0	
37	0	0	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	
39	0	0	0	0	0	0	0	0	
40	0	0	0	0	0	0	0	0	
41	0	0	0	0	0	0	0	0	
42	0	0	0	0	0	0	0	0	
43	0	0	0	0	0	0	0	0	
44	0	0	0	0	0	0	0	0	
45	0	0	0	0	0	0	0	0	
46	0	0	0	0	0	0	0	0	
47	-0.0688413	-1.1620884	-1.094209	-1.5125731	-27.0776997	-27.8684998	72.156929	100	
48	-0.0750211	-1.1675158	-1.1008837	-1.5181292	-27.0776997	-27.8684998	72.1578293	100	
49	-0.1050335	-1.1797228	-1.1192839	-1.5287684	-27.0776997	-27.8684998	72.1963882	100	
50	-0.1337004	-1.1939316	-1.1433146	-1.5380687	-27.0776997	-27.8684998	72.1738892	100	
51	-0.1743722	-1.2130241	-1.1855919	-1.5554217	-27.0776997	-27.8684998	72.1455002	100	
52	-0.2143712	-1.2331171	-1.220917	-1.573263	-27.0776997	-27.8684998	72.1459427	100	
