OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD_024_ONOFF_07_14_23								
Export date	7/19/2023 7:56								
Start of measurement	41:36.5								
									
Data file sample rate	10	Hz							
Data file duration	2547.6	s							
Data file total number of samples	25476								
									
Description									
Optode-template	PortaMon TSI Fit Factor								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
1	1	758	nm						
1	2	853	nm						
1	3	758	nm						
1	4	853	nm						
1	5	757	nm						
1	6	852	nm						
									
Export sample rate	10	Hz							
Export time span	0	2547.6							
Export time span (sample numbers)	0	25476							
									
									
Legend									
Column	Trace (Measurement)								
1	(Sample number)								
10	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
11	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
12	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
13	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
14	Rx1-Tx3 O2Hb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
15	Rx1-Tx3 HHb (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)								
16	"Rx1-Tx1,Tx2,Tx3 TSI% (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)"								
17	"Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (Mov avg) (LIGHTSHIELD021_ONOFF_07_11_23)"								
50	(Event)								
									
1	10	11	12	13	14	15	16	17	50
0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	
7	12.2339716	7.0326734	6.9939709	5.9638724	7.6317377	4.8796964	58.7722168	94.9760208	
8	-0.2857733	0.1964766	-1.4126223	1.0445383	-1.2774494	1.294232	56.1726799	94.8866119	
9	-0.2334699	0.1556059	-1.2019137	0.883352	-1.1276004	1.1379515	56.5356598	94.8665695	
10	-0.198699	0.1267401	-1.0811328	0.8107202	-1.0833728	1.1080061	56.5744858	94.8550491	
11	-0.1997709	0.1353804	-1.084566	0.8445032	-1.1025836	1.1484114	56.4922485	94.8494568	
12	-0.1977377	0.1429144	-1.0689791	0.8665674	-1.1216495	1.1912581	56.4015274	94.8432159	
13	-0.1740866	0.1270834	-0.940401	0.7763116	-1.0156314	1.0828291	56.6852074	94.8261108	
14	-0.1264448	0.0878683	-0.7322711	0.61746	-0.8739002	0.9306608	57.0369797	94.8045044	
15	-0.0735083	0.0442931	-0.5251788	0.4526041	-0.714072	0.7608916	57.4323349	94.7854919	
16	-0.0223188	-0.001964	-0.3249149	0.2873361	-0.583823	0.6165129	57.7427483	94.7698898	
17	0.007062	-0.028087	-0.1965351	0.182287	-0.4927967	0.5171171	57.9718895	94.7592239	
18	0.046937	-0.0645441	-0.013544	0.0351922	-0.3723209	0.3898894	58.2642708	94.7455292	
19	0.0995836	-0.1129678	0.1995144	-0.1551383	-0.1994846	0.1968504	58.710865	94.7320709	
20	0.1552439	-0.1641153	0.4377041	-0.3572257	-0.0146778	-0.0060228	59.1841698	94.7136307	
21	0.1840906	-0.1859201	0.5327283	-0.4171698	0.0353329	-0.0498384	59.2685127	94.7027893	
22	0.1924906	-0.1913828	0.5590344	-0.4321692	0.0473721	-0.0584444	59.283741	94.6999283	
23	0.1994333	-0.1946748	0.5840893	-0.4453146	0.0610592	-0.069507	59.3096123	94.6961899	
24	0.2023478	-0.1990121	0.6043606	-0.4588873	0.0638821	-0.0723756	59.3097038	94.6940231	
25	0.2219706	-0.2158922	0.7214261	-0.5712378	0.1786511	-0.2056764	59.6494179	94.6865692	
26	0.2767076	-0.2691873	0.960043	-0.789057	0.3617489	-0.4179109	60.1334991	94.6717758	
27	0.3307161	-0.3213991	1.1765195	-0.9905112	0.5458691	-0.6329912	60.6258888	94.6568985	
28	0.3608294	-0.3486093	1.2857953	-1.0852377	0.6019452	-0.6963762	60.743721	94.6525497	
29	0.3675814	-0.3551363	1.3123914	-1.1067145	0.6273358	-0.7221559	60.8062096	94.650116	
30	0.3752527	-0.3595117	1.33766	-1.1277182	0.6398556	-0.7328066	60.8277321	94.6506805	
31	0.3835955	-0.3525652	1.3588544	-1.1486914	0.6714337	-0.7651323	60.9259796	94.6521683	
32	0.407052	-0.371631	1.4586393	-1.2428839	0.744508	-0.8550676	61.1294479	94.6464691	
