OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD017_ONOFF_06_28_23								
Export date	7/19/2023 7:12								
Start of measurement	24:38.8								
									
Data file sample rate	10	Hz							
Data file duration	2483.6	s							
Data file total number of samples	24836								
									
Description									
Optode-template	PortaMon TSI Fit Factor								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
1	1	758	nm						
1	2	853	nm						
1	3	758	nm						
1	4	853	nm						
1	5	757	nm						
1	6	852	nm						
									
Export sample rate	10	Hz							
Export time span	0	2483.6							
Export time span (sample numbers)	0	24836							
									
									
Legend									
Column	Trace (Measurement)								
1	(Sample number)								
54	Rx1-Tx1 O2Hb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
55	Rx1-Tx1 HHb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
56	Rx1-Tx2 O2Hb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
57	Rx1-Tx2 HHb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
58	Rx1-Tx3 O2Hb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
59	Rx1-Tx3 HHb (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)								
60	"Rx1-Tx1,Tx2,Tx3 TSI% (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)"								
61	"Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (Mov avg) (LIGHTSHIELD017_ONOFF_06_28_23)"								
94	(Event)								
									
1	54	55	56	57	58	59	60	61	94
0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	
22	0	0	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	0	
24	0	0	0	0	0	0	0	0	
25	0	0	0	0	0	0	0	0	
26	0	0	0	0	0	0	0	0	
27	-0.077335	-0.1806439	-0.1656542	-0.2483694	0.042499	-0.4028318	80.3219147	99.6814651	
28	-0.0781037	-0.1935834	-0.172841	-0.2663443	0.0527644	-0.4326017	80.3984985	99.6800308	
29	-0.0721775	-0.2006406	-0.1685533	-0.2742369	0.0689959	-0.4408261	80.4242325	99.6787567	
30	-0.0530125	-0.1851529	-0.146554	-0.2586958	0.0872721	-0.4230077	80.4112244	99.6792221	
31	-0.0394322	-0.1701611	-0.1348276	-0.2444555	0.0964083	-0.4088056	80.4010239	99.6793137	
32	-0.0349232	-0.1610249	-0.1269693	-0.2380469	0.1016307	-0.4006879	80.399971	99.6794434	
33	-0.0315281	-0.1572789	-0.1225633	-0.2325346	0.1062998	-0.3917539	80.3843231	99.6793442	
34	-0.0228954	-0.1454801	-0.1087999	-0.2183134	0.1098628	-0.3706014	80.3427887	99.6802979	
35	-0.0174652	-0.1341962	-0.0969934	-0.2026884	0.111423	-0.3425176	80.2791748	99.6809616	
36	-0.0039402	-0.106799	-0.0733804	-0.1714384	0.1114649	-0.2989576	80.1947708	99.6832504	
37	0.0067257	-0.0874661	-0.0612459	-0.1502707	0.1133761	-0.2753522	80.1586304	99.6843338	
38	0.007111	-0.0809964	-0.0631189	-0.1474821	0.1138568	-0.2773931	80.1801529	99.684082	
39	0.015551	-0.0724324	-0.0514803	-0.1346304	0.1180377	-0.2558362	80.131012	99.6846008	
40	0.0226311	-0.0600842	-0.0432062	-0.1212866	0.1205744	-0.2424123	80.1145859	99.6853867	
41	0.0261215	-0.054717	-0.0409212	-0.1171438	0.1267581	-0.2383725	80.1197052	99.6848297	
42	0.0340256	-0.0418347	-0.0326509	-0.1038038	0.1263385	-0.224529	80.0980835	99.6857147	
43	0.0368847	-0.0337705	-0.0286226	-0.0932028	0.1230273	-0.2090413	80.0615997	99.6862564	
44	0.0262016	-0.0266713	-0.0361528	-0.0940687	0.1124377	-0.2065465	80.0666504	99.6856232	
45	0.0117382	-0.0297917	-0.0472994	-0.0986006	0.1029505	-0.2056806	80.0587158	99.6849899	
46	0.0169758	-0.0217427	-0.0295419	-0.0857985	0.1085047	-0.1808774	80.0042877	99.6864014	
47	0.0347771	-0.0024671	-0.0050897	-0.0633413	0.1246409	-0.1479795	79.9526291	99.6870575	
48	0.0655292	0.0345012	0.0388594	-0.02162	0.1474986	-0.0906942	79.8634796	99.6891098	
49	0.0980247	0.074155	0.081645	0.0233438	0.1716647	-0.0313756	79.7746277	99.6908646	
50	0.1225609	0.1133357	0.1146918	0.0646875	0.1867594	0.0149615	79.7190857	99.6930695	
51	0.1345333	0.141286	0.1349364	0.0964258	0.1915469	0.0580905	79.6462021	99.6944504	
52	0.1396583	0.1741458	0.1587134	0.1304491	0.196876	0.1109889	79.5633469	99.6959457	
53	0.1568111	0.2225543	0.2017775	0.1915911	0.197021	0.2099192	79.356369	99.6994553	
54	0.1587719	0.2689219	0.2315741	0.2468317	0.1853442	0.2999537	79.1718597	99.7027588	
